epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2018,1.90545,1.4419,1.88435,0.90479,0.8692,0.93291,0.78201,1.54883,0.89006,1.77669,0.0700057,0.0033327,0.0033327
2,3923.69,1.74968,1.05103,1.83201,0.92185,0.88509,0.95188,0.80704,1.47693,0.83037,1.77172,0.0399992,0.00665952,0.00665952
3,5788.81,1.76694,1.05559,1.84583,0.90613,0.88909,0.94963,0.79977,1.48037,0.83016,1.78107,0.00996665,0.00996034,0.00996034
4,7651.2,1.7335,1.01715,1.84292,0.93135,0.90161,0.96429,0.83025,1.41842,0.73792,1.76513,0.00991232,0.00991232,0.00991232
5,9500.3,1.64931,0.93233,1.81829,0.94051,0.91689,0.97174,0.84719,1.38077,0.70073,1.75131,0.00984449,0.00984449,0.00984449
6,11352,1.5964,0.8784,1.80247,0.94932,0.92521,0.97566,0.85494,1.34596,0.65991,1.74243,0.00975773,0.00975773,0.00975773
7,13201.7,1.55796,0.83827,1.7925,0.95373,0.93851,0.98085,0.86704,1.31828,0.62676,1.73451,0.00965239,0.00965239,0.00965239
8,15056.2,1.53185,0.81047,1.78445,0.95376,0.94066,0.98211,0.87301,1.29553,0.61424,1.72823,0.00952889,0.00952889,0.00952889
9,16909.1,1.50554,0.78645,1.7761,0.95799,0.94405,0.98373,0.8779,1.27912,0.58828,1.71898,0.00938772,0.00938772,0.00938772
10,18755.7,1.48458,0.76992,1.77115,0.96084,0.95065,0.98545,0.88088,1.26537,0.57702,1.71576,0.00922942,0.00922942,0.00922942
11,20603.8,1.46273,0.75014,1.76411,0.96021,0.95344,0.98655,0.88655,1.24842,0.56517,1.71106,0.00905463,0.00905463,0.00905463
12,22449.7,1.45295,0.74102,1.76384,0.96617,0.95247,0.98751,0.88888,1.23699,0.55101,1.70957,0.00886404,0.00886404,0.00886404
13,24290.4,1.43519,0.72588,1.7588,0.96848,0.95507,0.98834,0.89425,1.2261,0.54388,1.70647,0.00865839,0.00865839,0.00865839
14,26131.6,1.42219,0.7132,1.75716,0.96639,0.9597,0.9888,0.89684,1.21502,0.5356,1.70524,0.00843851,0.00843851,0.00843851
15,27977.7,1.41253,0.70395,1.75241,0.96894,0.95947,0.98901,0.89946,1.20641,0.52849,1.70119,0.00820525,0.00820525,0.00820525
16,29805,1.39949,0.69322,1.74741,0.97076,0.95993,0.98941,0.90055,1.20062,0.52265,1.69884,0.00795954,0.00795954,0.00795954
17,31629.3,1.38658,0.68511,1.74468,0.97039,0.96264,0.98966,0.9021,1.19342,0.51816,1.69594,0.00770234,0.00770234,0.00770234
18,33455.3,1.37637,0.67377,1.74283,0.9729,0.96227,0.99003,0.90371,1.18818,0.51494,1.69498,0.00743468,0.00743468,0.00743468
19,35276.3,1.36883,0.66648,1.74039,0.97402,0.96202,0.99029,0.90526,1.18295,0.51138,1.69358,0.00715761,0.00715761,0.00715761
20,36969.7,1.35621,0.6581,1.73797,0.97269,0.96569,0.99056,0.90621,1.17828,0.5072,1.69253,0.00687222,0.00687222,0.00687222
21,38594.7,1.34659,0.64921,1.73279,0.97012,0.96777,0.99075,0.90712,1.17479,0.50456,1.69095,0.00657963,0.00657963,0.00657963
22,40220.5,1.33771,0.63958,1.73164,0.97301,0.96617,0.99082,0.90794,1.17146,0.50215,1.68991,0.00628101,0.00628101,0.00628101
23,41826.7,1.32725,0.63398,1.72843,0.9742,0.96571,0.99096,0.90882,1.16796,0.49916,1.68894,0.00597754,0.00597754,0.00597754
